Jaar_laden;POSTCODE_LADEN;AANTAL_LAADLOCATIES; Totaal_KG_VRACHT ;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;PC6;Naam manege;Straat en huisnummer;Plaats;KVK nummer
2024;1461HT;1; 34.320 ;;;;;1461HT;;;;
2024;1461LC;1; 198.000 ;;;;;1461LC;;;;
2024;1462HE;1; 96.000 ;;;;;1462HE;;;;
2024;1462JR;1; 190.000 ;;;;;1462JR;;;;
2024;1462LJ;1; 635.300 ;;;;;1462LJ;;;;
2024;1462LK;1; 342.000 ;;;;;1462LK;;;;
2024;1462MG;1; 442.000 ;;;;;1462MG;Maatschap J Worp En N Worp Spaans;Rijperweg 119;Middenbeemster;37161383
2024;1463HA;3; 765.620 ;;;;;1463HA;Stal Hertenhof Noordbeemster Bv;Middenweg 10;Noordbeemster;37088369
2024;1463PG;1; 997.860 ;;;;;1463PG;Stal Beemster Landgoed Vredeveld;Mijzerweg 5;Noordbeemster;36053281
2024;1464GA;2; 643.600 ;;;;;1464GA;Benz Stables;Zuiderweg 11;Westbeemster;54676010
2024;1464NA;1; 39.000 ;;;;;1464NA;Stal Ingrid Vd Weiden;Wormerweg 10;Westbeemster;67729703
2024;1464NK;1; 136.000 ;;;;;1464NK;;;;
2024;1471CB;1; 1.581.100 ;;;;;1471CB;Kl Stables;Kwadijk 24 a;Kwadijk;60951524
2024;1471CH;1; 733.800 ;;;;;1471CH;;;;
2024;1472BD;1; 145.000 ;;;;;1472BD;;;;
2024;1473PB;1; 109.620 ;;;;;1473PB;;;;
2024;1473PP;1; 18.000 ;;;;;1473PP;Yaccaranda Arabians;IJsselmeerdijk 18 a;Warder;36033649
2024;1475JJ;1; 49.220 ;;;;;1475JJ;Vof Ponyclub Sasja En Jd Ranch;Beets 132;Beets;37085601
2024;1481AN;1; 145.500 ;;;;;1481AN;;;;
2024;1488AB;1; 80.100 ;;;;;1488AB;Fc Jongejans;Kogerpolder 16;Starnmeer;37149306
2024;1488AC;1; 584.980 ;;;;;1488AC;Trainingsstal Starnmeer;Damkensvoetpad 4;Starnmeer;35030673
2024;1488AG;1; 765.500 ;;;;;1488AG;;;;
2024;1488AK;1; 216.980 ;;;;;1488AK;Jongens Hands On Projects;Middelweg 1;Starnmeer;77258053
2024;1511AP;1; 1.182.000 ;;;;;1511AP;;;;
2024;1511GK;1; 284.080 ;;;;;1511GK;;;;
2024;1531KE;1; 468.500 ;;;;;1531KE;;;;
2024;1546LM;1; 673.700 ;;;;;1546LM;;;;
2024;1551PG;1; 180.000 ;;;;;1551PG;;;;
2024;1566AK;1; 19.280 ;;;;;1566AK;;;;
2024;1566AP;1; 157.700 ;;;;;1566AP;;;;
2024;1566AZ;1; 1.072.300 ;;;;;1566AZ;Fokkerij Pensionstal Pegasus;Akere 8;Assendelft;77251660
2024;1566NC;1; 14.000 ;;;;;1566NC;;;;
